pr_number;created_at;merged_at;time_to_merge_hours;changed_files;lines_changed;total_comments;total_reviews;pr_title;pr_body;has_changes_requested;main_module;cross_modules;labels_list;inferred_task_type;commit_messages
141063;2026-01-21T16:28:08Z;2026-01-23T21:06:14Z;52,63;5;98;0;0;[9.3] Fix readiness edge case on startup (#140791);Backports the following commits to 9.3:Fix readiness edge case on startup (#140791);FALSE;docs;docs, root, server, test;>bug, backport, Team:Core/Infra, :Core/Infra/Node Lifecycle, auto-merge-without-approval, v9.3.1;bugfix;"Fix readiness edge case on startup (#140791)  The readiness service watches for cluster state updates to determine when the node is ready. It must have a master node elected, and file settings must have been applied. Normally those take a little bit of time. However, the readiness services is setup to not even allow starting the tcp listener until after the service start method is called. This occurs in Node.start(), but _after_ the initial node join. If the initial join occurs before start, and the state already reflects the ""ready"" state, when start is called the service will be marked active, but nothing will ever start the listener.  This commit adjusts the readiness service to keep track of the last state applied. It also moves adding the cluster state listener to when the service is started. Finally, it adjusts the readiness test helpers to use assertBusy instead of a hand rolled backoff loop.  closes #136955"
140476;2026-01-09T21:30:37Z;2026-01-23T22:30:48Z;337,00;25;324;1;6;Rename SlowLogFieldProvider to ActionLoggingFieldsProvider;Since this is no longer for slow logs only (also used for ESQL log and in the future other action logs) and it's inherently not related to any slow log specifics, it is better to rename it to ActionLoggingFields*.;FALSE;server;server, x-pack;:Core/Infra/Logging, >refactoring, Team:Core/Infra, v9.4.0;ci;Rename SlowLogFieldProvider to LoggingFieldsProvider | Merge branch 'main' into rename-slowlog | more fixes | More rename | fix | Merge branch 'main' into rename-slowlog | Merge branch 'main' into rename-slowlog | Merge branch 'main' into rename-slowlog | Merge branch 'main' into rename-slowlog | Merge branch 'main' into rename-slowlog
140972;2026-01-20T15:31:18Z;2026-01-23T21:30:18Z;77,98;5;247;2;5;[ES|QL] MMR Command: Physical plan;Adds the physical plan implementation for the upcoming MMR command.(Currently only available on SNAPSHOT builds);FALSE;x-pack;x-pack;>non-issue, Team:Search Relevance, :Search Relevance/ES|QL, v9.4.0;other;add physical plan for MMR command | remove serialization from physical plan | refactor / remove serialization from logical plan | Merge branch 'main' into markjhoy/esql_mmr_command_physical_planning | only run MMR on coordinator node | Merge branch 'main' into markjhoy/esql_mmr_command_physical_planning | Merge branch 'main' into markjhoy/esql_mmr_command_physical_planning | remove lambda param - causing serialization issues | Merge branch 'main' into markjhoy/esql_mmr_command_physical_planning
141214;2026-01-23T20:07:43Z;2026-01-23T21:12:05Z;1,07;15;96;0;0;[9.1] Handle routing shards deprecation in api tests (#141139);Backports the following commits to 9.1:Handle routing shards deprecation in api tests (#141139);FALSE;rest-api-spec;rest-api-spec;>non-issue, :Distributed Indexing/Distributed, backport, auto-merge-without-approval, Team:Distributed Indexing, v9.1.11;test;Handle routing shards deprecation in api tests (#141139)  The setting index.number_of_routing_shards is doing to be deprecated in 9.4. This commit prepares prior version to handle that in rest api compatibility tests.
141216;2026-01-23T20:08:12Z;2026-01-23T21:02:00Z;0,90;15;96;0;0;[9.2] Handle routing shards deprecation in api tests (#141139);Backports the following commits to 9.2:Handle routing shards deprecation in api tests (#141139);FALSE;rest-api-spec;rest-api-spec;>non-issue, :Distributed Indexing/Distributed, backport, auto-merge-without-approval, Team:Distributed Indexing, v9.2.5;test;Handle routing shards deprecation in api tests (#141139)  The setting index.number_of_routing_shards is doing to be deprecated in 9.4. This commit prepares prior version to handle that in rest api compatibility tests.
141215;2026-01-23T20:08:00Z;2026-01-23T20:57:52Z;0,83;15;96;0;0;[8.19] Handle routing shards deprecation in api tests (#141139);Backports the following commits to 8.19:Handle routing shards deprecation in api tests (#141139);FALSE;rest-api-spec;rest-api-spec;>non-issue, :Distributed Indexing/Distributed, backport, auto-merge-without-approval, Team:Distributed Indexing, v8.19.11;test;Handle routing shards deprecation in api tests (#141139)  The setting index.number_of_routing_shards is doing to be deprecated in 9.4. This commit prepares prior version to handle that in rest api compatibility tests.
141213;2026-01-23T19:55:29Z;2026-01-23T20:54:17Z;0,98;1;16;0;0;[8.19] Test fix: use previous step info to assert missing SLM snapshot (#141197);Test TimeSeriesLifecycleActionsIT testWaitForSnapshot is deleting the SLM policy and tries to verify that ILM will fail the wait-for-snapshot step.When ILM fails the wait-for-snapshot step it goes into an error step and sets failed_step to be wait-for-snapshot. This is what this tests was using in the assertion.However, ILM retries the step periodically and when it retries it move from the step error to wait-for-snapshot and unsets the failed_step. If these periodic retries align with the assertBusy, it's possible to keep failing the assert even what we want to test has happened.To mitigate that we add an alternative way of checking. If the failed_step is not present then we check the following:The current step is wait-for-snapshotThis step has been retried at least one timeThe previous step failed because of a missing SLM policy.;FALSE;x-pack;x-pack;backport, auto-merge-without-approval, v8.19.11, :StorageEngine/ILM;bugfix;Test fix: use previous step info to assert missing SLM snapshot (#141197)  Test `TimeSeriesLifecycleActionsIT testWaitForSnapshot` is deleting the SLM policy and tries to verify that ILM will fail the `wait-for-snapshot` step.  When ILM fails the `wait-for-snapshot` step it goes into an error step and sets `failed_step` to be `wait-for-snapshot`. This is what this tests was using in the assertion.  However, ILM retries the step periodically and when it retries it move from the step error to `wait-for-snapshot` and unsets the `failed_step`. If these periodic retries align with the `assertBusy`, it's possible to keep failing the assert even what we want to test has happened.  To mitigate that we add an alternative way of checking. If the `failed_step` is not present then we check the following:  - The current step is `wait-for-snapshot` - This step has been retried at least one time - The previous step failed because of a missing SLM policy.
141210;2026-01-23T19:34:34Z;2026-01-23T20:18:19Z;0,73;3;6;3;1;Fix link formatting;fixing a couple of malformed links;FALSE;docs;docs;>docs, Team:Docs, v9.4.0;bugfix;Fix link formatting | fix more links | Merge branch 'main' into shainaraskas-patch-1
141139;2026-01-22T21:46:53Z;2026-01-23T20:05:42Z;22,31;15;96;2;1;Handle routing shards deprecation in api tests;The setting index.number_of_routing_shards is doing to be deprecated in9.4. This commit prepares prior version to handle that in rest apicompatibility tests.;FALSE;rest-api-spec;rest-api-spec;>non-issue, :Distributed Indexing/Distributed, auto-backport, Team:Distributed Indexing, v9.3.1, v9.1.11, v8.19.11, v9.2.5;test;Handle routing shards deprecation in api tests  The setting index.number_of_routing_shards is doing to be deprecated in 9.4. This commit prepares prior version to handle that in rest api compatibility tests. | Fixes | Fix | Fix | Merge remote-tracking branch 'upstream/9.3' into prepare_for_routing_shards_deprecation
141212;2026-01-23T19:52:04Z;2026-01-23T19:59:43Z;0,13;1;5;3;1;Docs: Remove mysterious '<images>' from ecommerce data install steps;Removes a few <image> tags that for some bizarre reason I accidentally included in the Painless ecommerce data install steps.fixed:;FALSE;docs;docs;>docs, Team:Docs, v9.4.0;docs;Remove mysterious '<images>' from ecommerce data install steps
141197;2026-01-23T16:48:44Z;2026-01-23T19:43:50Z;2,92;2;22;4;3;Test fix: use previous step info to assert missing SLM snapshot;Test TimeSeriesLifecycleActionsIT testWaitForSnapshot is deleting the SLM policy and tries to verify that ILM will fail the wait-for-snapshot step.When ILM fails the wait-for-snapshot step it goes into an error step and sets failed_step to be wait-for-snapshot. This is what this tests was using in the assertion.However, ILM retries the step periodically and when it retries it move from the step error to wait-for-snapshot and unsets the failed_step. If these periodic retries align with the assertBusy, it's possible to keep failing the assert even what we want to test has happened.To mitigate that we add an alternative way of checking. If the failed_step is not present then we check the following:The current step is wait-for-snapshotThis step has been retried at least one timeThe previous step failed because of a missing SLM policy.Closes #138669;FALSE;root;root, x-pack;>test, auto-backport, Team:StorageEngine, v9.3.1, v9.4.0, v8.19.11, :StorageEngine/ILM;bugfix;Test fix: add alternative way of verifying an ILM error has occured (#138669) | This was accidentally muted
141098;2026-01-22T13:17:16Z;2026-01-23T16:04:25Z;26,79;5;103;2;6;Fix tests and logging for Docker-based tests and unmute the tests;This should fix the remaining problems in DockerTests and KeystoreManagementTests found after unmuting the Docker-based tests.Removed muting for multiple Docker-related integration tests in muted-tests.yml. These tests failures are either resolved in #140701 or this PR and ready for re-evaluation.Two runs of the Docker packaging tests have passed: https://buildkite.com/elastic/elasticsearch-pull-request/builds?branch=jozala%3Adockertests-unmute-testsFollowing ticket can be closed when this is merged to all branches: #131369, #131372, #131366, #131107, #120917, #120925, #120911;FALSE;root;qa, root;>non-issue, >test, :Delivery/Packaging, backport pending, Team:Delivery, auto-backport, v9.3.1, v9.4.0, v9.1.11, v8.19.11;bugfix;Unmute DockerTests in muted-tests.yml  Removed muting for multiple Docker-related integration tests in `muted-tests.yml`, as they are likely resolved in #140701 and ready for re-evaluation. | Refactor authentication retry logic in ServerUtils  Removed unnecessary boolean flag for retrying on authentication failure | Fix Docker log dumps  Fixed the problem with running `docker logs null` after test failure. The problem was caused by calling the `removeContainer()` before `dumpDebug()` because `dumpDebug()` is called from the @Rule on the base class and `removeContainer()` from @After method on the child class. | Fix conditional logic in ServerUtils for cluster health check  Adjusted logic to properly set the `started` flag only after a successful cluster health API response. | Make the logging less verbose  This warning log with exception was very loud and sometimes hide the real issue. It has been changed to only log the exception message. | Ugly way of fixing the problem with stopping container   It is temporary to make sure this is a real issue. Hopefully there is a   better way to handle this ordering problem between removing the   container and printing the logs from it. | Add a method to control the cleanup of Docker containers post-test  By default, tests will not remove their containers unless explicitly opted in. This is a way to avoid the nasty class name check to remove docker containers after each test for DockerTests. | Merge branch 'main' into dockertests-unmute-tests
139617;2025-12-16T15:31:25Z;2026-01-23T18:39:37Z;915,14;8;187;13;0;[9.1] ESQL: Prevent circular alias references in `DeduplicateAggs` (#139175);BackportThis will backport the following commits from main to 9.1:ESQL: Prevent circular alias references in DeduplicateAggs (#139175)Questions ?Please refer to the Backport tool documentation;FALSE;docs;docs, root, x-pack;>bug, backport, external-contributor, auto-merge-without-approval, :Analytics/ES|QL, v9.1.11;ci;"ESQL: Prevent circular alias references in `DeduplicateAggs` (#139175)  ## Summary  Fixes circular reference detection in alias chains during `DeduplicateAggs` optimizations.  ## Problem  The `PushDownEnrich` optimization can create circular references when pushing `Enrich` past `Project` operations, causing `ql_illegal_argument_exception: Potential cycle detected` errors when `DeduplicateAggs`.  Example query:  ```esql FROM languages_lookup | RENAME language_name AS message | ENRICH languages_policy ON language_code | STATS a = count(to_lower(language_name)), b = count(language_name) ```  ## Changes  Skip aliases that would create circular references by checking if `alias.toAttribute()` equals the resolved `alias.child()`.  Closes #138346 Closes #139541  (cherry picked from commit 2289e1767a01a6df78babbde7f41eb43456dde9d)  # Conflicts: #	x-pack/plugin/esql/qa/server/src/main/java/org/elasticsearch/xpack/esql/qa/rest/generative/GenerativeRestTest.java #	x-pack/plugin/esql/qa/testFixtures/src/main/resources/enrich.csv-spec #	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/action/EsqlCapabilities.java #	x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/optimizer/LogicalPlanOptimizerTests.java | Merge remote-tracking branch 'refs/remotes/origin/9.1' into backport/9.1/pr-139175 | Merge remote-tracking branch 'origin/9.1' into backport/9.1/pr-139175  # Conflicts: #	x-pack/plugin/esql/qa/testFixtures/src/main/resources/enrich.csv-spec #	x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/action/EsqlCapabilities.java #	x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/optimizer/LogicalPlanOptimizerTests.java | Merge remote-tracking branch 'upstream/9.1' into backport/9.1/pr-139175 | unmute GenerativeIT | Fix tests  Lookup indices are not loaded in multi-cluster tests in 9.1. Instead of languages_lookup we can also just use languages: same index, just without the lookup mode set. | Revert ""Fix tests""  This reverts commit b0696b52ba9faa06f7afb4d0763c133fcd673f0c.  Turns out, we cannot use the languages index because this one is also used for enrich, and the multi cluster tests index this two times, on the remote AND on the local cluster. | Use index that isn't duplicated in multi-cluster | Fix more tests... | Merge branch '9.1' into backport/9.1/pr-139175"
141028;2026-01-21T02:01:05Z;2026-01-23T18:21:13Z;64,34;4;172;1;4;Migrate standard to logs rolling upgrade test to serverless;Addresses elastic/elasticsearch-serverless#4858;FALSE;x-pack;x-pack;>non-issue, Team:StorageEngine, :StorageEngine/Logs, serverless-linked, v9.4.0;test;Migrate StandardToLogsDbIndexModeRollingUpgradeIT to run in serverless | Address feedback
141103;2026-01-22T13:49:35Z;2026-01-23T17:34:43Z;27,75;5;253;3;8;PromQL: Time function;As title.;FALSE;docs;docs, x-pack;>non-issue, Team:StorageEngine, :StorageEngine/ES|QL, v9.4.0;other;time | add test | fix docs
140401;2026-01-08T20:34:23Z;2026-01-23T17:14:48Z;356,67;10;712;2;23;Moving StatelessShardsAvailabilityHealthIndicatorService into elasticsearch;This prepares to move StatelessShardsAvailabilityHealthIndicatorService from the serverless project into elasticsearch. This changes the class hierarchy -- instead of StatelessShardsAvailabilityHealthIndicatorService extending the old stateful ShardsAvailabilityHealthIndicatorService, ShardsAvailabilityHealthIndicatorService is now an abstract class that only has the parts used in both the stateful and stateless implementations. StatefulShardsAvailabilityHealthIndicatorService was broken out as the stateful implementation. This avoids some confusion. In the future, StatefulShardsAvailabilityHealthIndicatorService probably ought to be moved to the health-shards-availability module, but that is out of scope for this PR.Relates ES-13581;FALSE;benchmarks;benchmarks, modules, server, x-pack;>non-issue, Team:Data Management, Team:Distributed, :Distributed/Health, serverless-linked, v9.4.0;other;"Override shards_availability health indicator for Stateless (#1155)  This commit introduces a new plugin for displaying the `shards_availability` health indicator. It then excludes the Stateful version so that only this version is displayed. In this replacement indicator an index that has all of its replicas unassigned will cause the cluster to enter a ""red"" health state, because the index is no longer searchable.  Relates to https://github.com/elastic/elasticsearch/pull/101394 Relates to https://github.com/elastic/elasticsearch/pull/101638 Relates to https://github.com/elastic/elasticsearch/pull/101796  Resolves https://elasticco.atlassian.net/browse/ES-7035  Co-authored-by: Elastic Machine <elasticmachine@users.noreply.github.com> | Refactoring follow up (#102466) (#1211) | ES-7203: Adjust shard availability diagnosis to the context of serverless (#1199) | Add unavailable index names to shardsHealth details (#2680)  This PR adds the list of unavailable primary and replica index names to the details section of shards health report. The fields are populated only when there are unavailable shards and limit to 10 index names per field.  Resolves: ES-7663 | Add support for health indicator serverless shards_availability (#3672)  * Add support for health indicator serverless shards_availability  * update ES  * update ES  * empty commit to trigger CI  * update ES  * ES  * update ES  * update ES  * Merge upstream and update elasticsearch submodule to bddc14c232a927737062c8a6b02976e6be4b5646  ---------  Co-authored-by: elasticsearchmachine <infra-root+elasticsearchmachine@elastic.co> | Limit number of allocation explanations in `shards_availability` health indicator (#4686)  Follow-up of https://github.com/elastic/elasticsearch/pull/136060. | Porting StatelessShardsAvailabilityHealthIndicatorService from serverless to elasticsearch | Temporarily ignoring tests that do not pass in stateless yet | Making ShardsAvailabilityHealthIndicatorService abstract, and adding StatefulShardsAvailabilityHealthIndicatorService | using AwaitsFix instead of Ignore"
141176;2026-01-23T13:31:15Z;2026-01-23T17:03:17Z;3,53;1;21;3;1;Add `relocationRequest` to `BulkByScrollTask`;This just adds this field, and the required accessors. (This is the integration point between two other workstreams, so this change unblocks both of those.);FALSE;server;server;>non-issue, :Distributed Indexing/Reindex, Team:Distributed Indexing, v9.4.0;feature;Add `relocationRequest` to `BulkByScrollTask`  This just adds this field, and the required accessors. (This is the integration point between two other workstreams, so this change unblocks both of those.) | Merge branch 'main' into reindex-relocation-requested-bit-in-task | fix build issue with broken javadoc link
140198;2026-01-06T04:50:58Z;2026-01-23T17:07:51Z;420,28;23;853;9;10;Preconditioning;Continuation of the initial pass at a preconditioning utils and wiring through for the disk bbq next format so we can iterate to see it's impact on quantization.  This focuses on on the random preconditioning.Partially implements issue: #131223;FALSE;docs;docs, qa, server, x-pack;>enhancement, :Search Relevance/Vectors, Team:Search Relevance, v9.4.0;other;added preconditioning to help edge cases where quantization causes vectors to become indistinguishable | merge | rewrote read/write logic, minor cleanup, recall restored | Merge branch 'main' into preconditioning | added random permutation matrix variant, default to 32 block dim, and minor clean up | wip | merge main | added preconditioning to help edge cases where quantization causes vectors to become indistinguishable | merge main | iter
141153;2026-01-23T10:00:30Z;2026-01-23T17:07:16Z;7,11;1;5;1;1;Fix flaky PromQL test;The order of the left and right side of the addition isn't deterministic.closes #141096;FALSE;x-pack;x-pack;>test, external-contributor, Team:StorageEngine, :StorageEngine/ES|QL, v9.4.0;bugfix;Fix flaky PromQL test  The order of the left and right side of the addition isn't deterministic.
